title,bestSeller,amazonPrime,score,total_reviews,rating,asin,url,brand1,brand2,spec,brand
CareSens N Blood Glucose Test Strips (50 ct) - Only for CareSens N Family Meter Kits,False,True,6878.4,1433,4.8,B00CJAVTNQ,https://www.amazon.com/dp/B00CJAVTNQ,CareSens,N,Blood Glucose Test Strips (50 ct) - Only for CareSens N Family Meter Kits,CareSens N
4 x 50ct TRUE METRIX® NFRS Test Strips (200 Test Strips),False,False,6744.0,1405,4.8,B01L2LODVM,https://www.amazon.com/dp/B01L2LODVM,4,x,50ct TRUE METRIX® NFRS Test Strips (200 Test Strips),4 x
TrueTrack Test Strips 50 ct (Pack of 2) by TrueTrack,False,False,6533.0,1390,4.7,B01M7RVN1P,https://www.amazon.com/dp/B01M7RVN1P,TrueTrack,Test,Strips 50 ct (Pack of 2) by TrueTrack,TrueTrack Test
"Sidekick All-in-One Glucose Meter Kit – Built in Meter, 50 Test Strips, Lancing Device, 10 Lancets, Control Solution, and ...",False,True,6297.4,1369,4.6,B07K36LM21,https://www.amazon.com/dp/B07K36LM21,Sidekick,All-in-One,"Glucose Meter Kit – Built in Meter, 50 Test Strips, Lancing Device, 10 Lancets, Control Solution, and ...",Sidekick All-in-One
"AUVON Diabetes Testing Kit with 150 Glucometer Strips and 50 30G Lancets, Blood Glucose Monitor Kit Includes a Log Book, ...",False,True,6104.2,1327,4.6,B07X8FBDG1,https://www.amazon.com/dp/B07X8FBDG1,AUVON,Diabetes,"Testing Kit with 150 Glucometer Strips and 50 30G Lancets, Blood Glucose Monitor Kit Includes a Log Book, ...",AUVON Diabetes
True Metrix Blood Glucose Test Strips Box of 50,False,True,6182.4,1288,4.8,B00Y4KOBWK,https://www.amazon.com/dp/B00Y4KOBWK,True,Metrix,Blood Glucose Test Strips Box of 50,True Metrix
"OneTouch Verio Level 3 (Mid) Control Solution for Blood Glucose Meters, Test Strips - 0.128 Fl Oz",False,True,5662.6,1231,4.6,B0071834GQ,https://www.amazon.com/dp/B0071834GQ,OneTouch,Verio,"Level 3 (Mid) Control Solution for Blood Glucose Meters, Test Strips - 0.128 Fl Oz",OneTouch Verio
TRUE METRIX® Meter Starter Kit,False,True,5677.6,1208,4.7,B08DXNC949,https://www.amazon.com/dp/B08DXNC949,TRUE,METRIX®,Meter Starter Kit,TRUE METRIX®
"FreeStyle Precision Neo Blood Glucose Test Strips - 50 ct, Pack of 2",False,False,5793.6,1207,4.8,B073V38KDK,https://www.amazon.com/dp/B073V38KDK,FreeStyle,Precision,"Neo Blood Glucose Test Strips - 50 ct, Pack of 2",FreeStyle Precision
"CONTOUR NEXT Control Solution for Glucose Test Meter, Level 2, 2.5mL Bottle",False,False,5350.5,1189,4.5,B00FT30EX6,https://www.amazon.com/dp/B00FT30EX6,CONTOUR,NEXT,"Control Solution for Glucose Test Meter, Level 2, 2.5mL Bottle",CONTOUR NEXT
"Easy Touch Eas-150 Easytouch Glucose Test Strip, 150 Count (Pack of 150)",False,False,5322.2,1157,4.6,B06WD5HRM8,https://www.amazon.com/dp/B06WD5HRM8,Easy,Touch,"Eas-150 Easytouch Glucose Test Strip, 150 Count (Pack of 150)",Easy Touch
McKesson 06-RE4051-43 True Metrix Self Monitoring Blood Glucose System,False,True,4450.5,989,4.5,B06XD9X5VK,https://www.amazon.com/dp/B06XD9X5VK,McKesson,06-RE4051-43,True Metrix Self Monitoring Blood Glucose System,McKesson 06-RE4051-43
"On Call Express II Diabetes Testing Kit- Blood Glucose Meter, 100 Blood Test Strips, 1 Lancing Device, 100 30g Lancets, Co...",False,True,4480.4,974,4.6,B08S6TRYJC,https://www.amazon.com/dp/B08S6TRYJC,On,Call,"Express II Diabetes Testing Kit- Blood Glucose Meter, 100 Blood Test Strips, 1 Lancing Device, 100 30g Lancets, Co...",On Call
True Decor TrueMetrix Self Monitoring Blood Glucose Meter (Triple Sense Technology),False,False,4213.6,916,4.6,B01GU3SKZM,https://www.amazon.com/dp/B01GU3SKZM,True,Decor,TrueMetrix Self Monitoring Blood Glucose Meter (Triple Sense Technology),True Decor
Prodigy No Coding Blood Glucose Test Strips 300 Count (50 Strips x 6 Packs),False,False,4339.2,904,4.8,B00D47H9HS,https://www.amazon.com/dp/B00D47H9HS,Prodigy,No,Coding Blood Glucose Test Strips 300 Count (50 Strips x 6 Packs),Prodigy No
Ultra Test Strips Blue 25 Ct,False,False,4038.8,878,4.6,B00NF44GU8,https://www.amazon.com/dp/B00NF44GU8,Ultra,Test,Strips Blue 25 Ct,Ultra Test
"Freestyle Precision Neo Blood Glucose Test Strips, 50 Strips",False,False,3952.7,841,4.7,B015PXUZ0Q,https://www.amazon.com/dp/B015PXUZ0Q,Freestyle,Precision,"Neo Blood Glucose Test Strips, 50 Strips",Freestyle Precision
TRUE Metrix Blood Glucose Test Strips(100 Count) with 100 TRUEplus Sterile Lancets 28 Gauge,False,True,4022.4,838,4.8,B014MUOHDE,https://www.amazon.com/dp/B014MUOHDE,TRUE,Metrix,Blood Glucose Test Strips(100 Count) with 100 TRUEplus Sterile Lancets 28 Gauge,TRUE Metrix
One Drop Glucose Test Strips (50 Count)—Compatible with One Drop Glucose Meter and Diabetes Starter Kit,False,True,3508.8,816,4.3,B07D9S14SN,https://www.amazon.com/dp/B07D9S14SN,One,Drop,Glucose Test Strips (50 Count)—Compatible with One Drop Glucose Meter and Diabetes Starter Kit,One Drop
ACCU-CHEK Aviva Plus Mail Order Test Strips 50-Count Box,False,False,3491.4,759,4.6,B001AXRELE,https://www.amazon.com/dp/B001AXRELE,ACCU-CHEK,Aviva,Plus Mail Order Test Strips 50-Count Box,ACCU-CHEK Aviva
TRUETRACK Test Strips 50ct (Pack of 4),False,True,3609.6,752,4.8,B01M8KJG0A,https://www.amazon.com/dp/B01M8KJG0A,TRUETRACK,Test,Strips 50ct (Pack of 4),TRUETRACK Test
