title,bestSeller,amazonPrime,score,total_reviews,rating,asin,url,brand1,brand2,spec,brand
PetTest Diabetes Blood Glucose Tests Strips for Dogs and Cats for use with PetTest Glucose Monitor (50 Strips),False,True,2119.7,451,4.7,B01AK8YDE0,https://www.amazon.com/dp/B01AK8YDE0,PetTest,Diabetes,Blood Glucose Tests Strips for Dogs and Cats for use with PetTest Glucose Monitor (50 Strips),PetTest Diabetes
The CONTOUR NEXT EZ Blood Glucose Monitoring System,False,True,1917.6,408,4.7,B009B7SK8M,https://www.amazon.com/dp/B009B7SK8M,The,CONTOUR,NEXT EZ Blood Glucose Monitoring System,The CONTOUR
Assure Platinum Glucose Test Strips for Meter 50ct,False,True,1748.0,380,4.6,B007TMMLQ8,https://www.amazon.com/dp/B007TMMLQ8,Assure,Platinum,Glucose Test Strips for Meter 50ct,Assure Platinum
"Advocate Redi-Code Glucose Test Strips 50/bx - Buy 4, Get 1 FREE",False,False,1748.0,380,4.6,B00F3J4FVS,https://www.amazon.com/dp/B00F3J4FVS,Advocate,Redi-Code,"Glucose Test Strips 50/bx - Buy 4, Get 1 FREE",Advocate Redi-Code
"CURO G6s Blood Glucose Test Strips Includes Total Test Strips 100 ea (2 x 50 Counts) by""KPI Healthcare CUROfit"" (Device NO...",False,False,1663.8,354,4.7,B07R7F4B29,https://www.amazon.com/dp/B07R7F4B29,CURO,G6s,"Blood Glucose Test Strips Includes Total Test Strips 100 ea (2 x 50 Counts) by""KPI Healthcare CUROfit"" (Device NO...",CURO G6s
Care Touch Blood Glucose Test Strips (100 Count) with 100 30-Gauge Lancets,False,True,1660.8,346,4.8,B07L9F325J,https://www.amazon.com/dp/B07L9F325J,Care,Touch,Blood Glucose Test Strips (100 Count) with 100 30-Gauge Lancets,Care Touch
TRUETRACK Blood Glucose Test Strips (300 Count),False,True,1651.2,344,4.8,B01M1ABCLI,https://www.amazon.com/dp/B01M1ABCLI,TRUETRACK,Blood,Glucose Test Strips (300 Count),TRUETRACK Blood
"O’Well Tyson Bio HT100 Blood Glucose Test Strips, 100 Count",False,True,1541.0,335,4.6,B07G4FTDL1,https://www.amazon.com/dp/B07G4FTDL1,O’Well,Tyson,"Bio HT100 Blood Glucose Test Strips, 100 Count",O’Well Tyson
100 EASYMax Blood Glucose Test Strips(2 Boxes of 50),False,False,1564.8,326,4.8,B005QZ70X4,https://www.amazon.com/dp/B005QZ70X4,100,EASYMax,Blood Glucose Test Strips(2 Boxes of 50),100 EASYMax
Embrace Blood Glucose Test Strips 200Ct,False,True,1592.5,325,4.9,B07RS5C3QT,https://www.amazon.com/dp/B07RS5C3QT,Embrace,Blood,Glucose Test Strips 200Ct,Embrace Blood
OneTouch Verio Test Strips and OneTouch Delica Plus Lancets for Diabetes Testing | 60-Count Value Pack (30 Lancets & 30 Te...,False,True,1316.0,280,4.7,B08PVZKVL4,https://www.amazon.com/dp/B08PVZKVL4,OneTouch,Verio,Test Strips and OneTouch Delica Plus Lancets for Diabetes Testing | 60-Count Value Pack (30 Lancets & 30 Te...,OneTouch Verio
Dario 100 Test Strips + 100 Lancets + Travel Case Bundle Set for Your Dario Blood Sugar Level Smart Monitoring Kit for Dia...,False,True,1334.4,278,4.8,B094SLCCVP,https://www.amazon.com/dp/B094SLCCVP,Dario,100,Test Strips + 100 Lancets + Travel Case Bundle Set for Your Dario Blood Sugar Level Smart Monitoring Kit for Dia...,Dario
"ReliOn Premier Blood Glucose Test Strips, 100 Ct (2 pk)",False,False,1273.7,271,4.7,B08F3W6N2X,https://www.amazon.com/dp/B08F3W6N2X,ReliOn,Premier,"Blood Glucose Test Strips, 100 Ct (2 pk)",ReliOn Premier
FORA Pro Voice V8 V9 Blood Glucose Test Strips for Precise Blood Sugar Measurement for Diabetes and Your Diabetic Diet - 5...,False,True,1207.9,257,4.7,B077GTMD28,https://www.amazon.com/dp/B077GTMD28,FORA,Pro,Voice V8 V9 Blood Glucose Test Strips for Precise Blood Sugar Measurement for Diabetes and Your Diabetic Diet - 5...,FORA Pro
[CUROfit] CURO-G10 Glucose Test Strips : Included Total Glucose Test Strips 50 ea ( Device NOT Included),False,True,1146.8,244,4.7,B08XYJ236V,https://www.amazon.com/dp/B08XYJ236V,[CUROfit],CURO-G10,Glucose Test Strips : Included Total Glucose Test Strips 50 ea ( Device NOT Included),[CUROfit] CURO-G10
SD Codefree Blood Glucose Test Strips,False,True,1132.7,241,4.7,B00MHZR1EY,https://www.amazon.com/dp/B00MHZR1EY,SD,Codefree,Blood Glucose Test Strips,SD Codefree
On Call Plus Bundle Deal Savings 200 Ct Test Strips,False,True,1053.0,234,4.5,B008LD1SF4,https://www.amazon.com/dp/B008LD1SF4,On,Call,Plus Bundle Deal Savings 200 Ct Test Strips,On Call
Advocate Redi-Code Plus Glucose Test Strips - 100 ct.,False,False,1095.1,233,4.7,B00IJ54L0S,https://www.amazon.com/dp/B00IJ54L0S,Advocate,Redi-Code,Plus Glucose Test Strips - 100 ct.,Advocate Redi-Code
Test Strips for Prodigy Blood Glucose Monitors - 200 Strips,False,False,1113.6,232,4.8,B07Z6LG1W7,https://www.amazon.com/dp/B07Z6LG1W7,Test,Strips,for Prodigy Blood Glucose Monitors - 200 Strips,Test Strips
ACCU-CHEK Instant 50 Test Strips,False,True,1057.5,225,4.7,B0000532HH,https://www.amazon.com/dp/B0000532HH,ACCU-CHEK,Instant,50 Test Strips,ACCU-CHEK Instant
Uric Acid Test Strips - Track What Foods and Dietary Supplements Elevate and Lower inflammatory Uric Acid. ...,False,True,828.8,224,3.7,B077JKHRJ5,https://www.amazon.com/dp/B077JKHRJ5,Uric,Acid,Test Strips - Track What Foods and Dietary Supplements Elevate and Lower inflammatory Uric Acid. ...,Uric Acid
"TRUEtrack Test Strips, 150 Count, for TRUEtrack Meter",False,False,1025.8,223,4.6,B01LXSCWHO,https://www.amazon.com/dp/B01LXSCWHO,TRUEtrack,Test,"Strips, 150 Count, for TRUEtrack Meter",TRUEtrack Test
Prodigy No Coding Blood Glucose Test Strips 500 Count,False,True,1034.0,220,4.7,B00D46QOXY,https://www.amazon.com/dp/B00D46QOXY,Prodigy,No,Coding Blood Glucose Test Strips 500 Count,Prodigy
EasyMax Test Strips 200 count- 4 boxes of 50,False,False,1051.2,219,4.8,B01MSL3M9W,https://www.amazon.com/dp/B01MSL3M9W,EasyMax,Test,Strips 200 count- 4 boxes of 50,EasyMax Test
"WaveSense Presto Test Strips, 100 Count",False,False,947.6,206,4.6,B012SA4S3Y,https://www.amazon.com/dp/B012SA4S3Y,WaveSense,Presto,"Test Strips, 100 Count",WaveSense Presto
"FreeStyle Lite Blood Glucose Test Strips - 50 ct, Pack of 8",False,False,963.5,205,4.7,B078YGC2XQ,https://www.amazon.com/dp/B078YGC2XQ,FreeStyle,Lite,"Blood Glucose Test Strips - 50 ct, Pack of 8",FreeStyle
"Advocate Redi-Code Strips, 50/Box (3 Packs of 50)",False,False,859.2,179,4.8,B06X1FHX6Y,https://www.amazon.com/dp/B06X1FHX6Y,Advocate,Redi-Code,"Strips, 50/Box (3 Packs of 50)",Advocate Redi-Code
[CUROfit] CURO-G10 Glucose Test Strips : Included Total Glucose Test Strips 100 ea ( Device NOT Included),False,True,841.3,179,4.7,B08PM85VQN,https://www.amazon.com/dp/B08PM85VQN,[CUROfit],CURO-G10,Glucose Test Strips : Included Total Glucose Test Strips 100 ea ( Device NOT Included),[CUROfit] CURO-G10
"Blood Glucose Test Strips, 50 Strips for Accu-Chek Performa 50 Count (Pack of 1)",False,True,822.5,175,4.7,B09GMZ147N,https://www.amazon.com/dp/B09GMZ147N,Blood,Glucose,"Test Strips, 50 Strips for Accu-Chek Performa 50 Count (Pack of 1)",Care Touch
True Metrix Blood Glucose Test Strips 6x50 With Monitor System,False,False,772.8,168,4.6,B074VH1Z26,https://www.amazon.com/dp/B074VH1Z26,True,Metrix,Blood Glucose Test Strips 6x50 With Monitor System,True Metrix
OneTouch Verio Test Strips for Diabetes Value Pack - 180 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Se...,False,False,784.9,167,4.7,B094DRQ926,https://www.amazon.com/dp/B094DRQ926,OneTouch,Verio,Test Strips for Diabetes Value Pack - 180 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Se...,OneTouch Verio
"McKesson 06-R3051-41 True Metrix Self Monitoring Blood Glucose Test Strip, Box of 100",False,False,775.5,165,4.7,B06XD1SSJ7,https://www.amazon.com/dp/B06XD1SSJ7,McKesson,06-R3051-41,"True Metrix Self Monitoring Blood Glucose Test Strip, Box of 100",McKesson 06-R3051-41
