asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B01M7RVN1P,https://www.amazon.com/dp/B01M7RVN1P,6533.00,False,False,False,True,TrueTrack Test Strips 50 ct (Pack of 2) by TrueTrack,https://m.media-amazon.com/images/I/61nWhDOgifL._AC_UL320_.jpg,1,21,18,True,18.59,USD,20.0,1.41,7.05,1390,4.7
B01F69KYY6,https://www.amazon.com/dp/B01F69KYY6,4630.50,False,False,False,True,Prodigy Test Strip Bundle (200ct),https://m.media-amazon.com/images/I/61XCM7OI4uL._AC_UL320_.jpg,1,22,19,False,27.82,USD,0.0,0.0,0.0,945,4.9
B08FXRYSPG,https://www.amazon.com/dp/B08FXRYSPG,13606.50,False,False,False,True,Sponsored Ad - OneTouch Verio Test Strips for Diabetes - 30 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home...,https://m.media-amazon.com/images/I/716BlYUe9gL._AC_UL320_.jpg,1,23,20,False,18.98,USD,0.0,0.0,0.0,2895,4.7
B09GMZ147N,https://www.amazon.com/dp/B09GMZ147N,822.50,False,False,False,True,"Blood Glucose Test Strips, 50 Strips for Accu-Chek Performa 50 Count (Pack of 1)",https://m.media-amazon.com/images/I/618HMjIF3SL._AC_UL320_.jpg,1,25,21,True,15.7,USD,17.2,1.5,8.72,175,4.7
B00OGXRQWW,https://www.amazon.com/dp/B00OGXRQWW,3148.80,False,False,False,False,GE100 Blood Glucose Test Strips - 4/Boxes of 50 Strips = 200/Total Strips,https://m.media-amazon.com/images/I/71tbZohociL._AC_UL320_.jpg,1,26,22,False,42.0,USD,0.0,0.0,0.0,656,4.8
B00UY7GN8C,https://www.amazon.com/dp/B00UY7GN8C,733.20,False,False,False,True,"GA/Bionime GE100 Diabetic Test Strips, 100 Count",https://m.media-amazon.com/images/I/518w+B2JcLL._AC_UL320_.jpg,1,27,23,False,24.0,USD,0.0,0.0,0.0,156,4.7
B01MSL3M9W,https://www.amazon.com/dp/B01MSL3M9W,1051.20,False,False,False,False,EasyMax Test Strips 200 count- 4 boxes of 50,https://m.media-amazon.com/images/I/4146LWeqWKL._AC_UL320_.jpg,1,28,24,False,34.95,USD,0.0,0.0,0.0,219,4.8
B009B7SK8M,https://www.amazon.com/dp/B009B7SK8M,1917.60,False,False,False,True,Sponsored Ad - The CONTOUR NEXT EZ Blood Glucose Monitoring System,https://m.media-amazon.com/images/I/812K0kH7A4L._AC_UL320_.jpg,1,29,25,False,23.08,USD,0.0,0.0,0.0,408,4.7
B09V4V9QYN,https://www.amazon.com/dp/B09V4V9QYN,61.20,False,False,False,True,"Blood Glucose Monitor Kit, 100 Counts 30 Gauge Lancets, 100 Blood Test Strips and Carrying Case, Lancing Device, Control S...",https://m.media-amazon.com/images/I/81mFHgENQCL._AC_UL320_.jpg,1,31,27,False,22.99,USD,0.0,0.0,0.0,17,3.6
B08L47PMX6,https://www.amazon.com/dp/B08L47PMX6,11880.00,False,False,False,True,Sponsored Ad - OneTouch Verio Test Strips for Diabetes Value Pack - 90 Count | Diabetic Test Strips for Blood Sugar Monito...,https://m.media-amazon.com/images/I/710wyyf1QDL._AC_UL320_.jpg,1,32,28,False,49.99,USD,0.0,0.0,0.0,2475,4.8
