asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B09V4V9QYN,https://www.amazon.com/dp/B09V4V9QYN,61.20,False,False,False,True,"Blood Glucose Monitor Kit, 100 Counts 30 Gauge Lancets, 100 Blood Test Strips and Carrying Case, Lancing Device, Control S...",https://m.media-amazon.com/images/I/81mFHgENQCL._AC_UL320_.jpg,1,41,41,False,0,USD,0.0,0.0,0,17,3.6
B077J3XDDW,https://www.amazon.com/dp/B077J3XDDW,1968.80,False,False,False,True,"FORA Pro Voice V9 Diabetes Testing Kit for Accurate and Easy Monitoring Your Blood Glucose with Talking Glucometer, 1 Mete...",https://m.media-amazon.com/images/I/81AxNHOMtiS._AC_UL320_.jpg,1,42,42,True,0,USD,39.99,39.99,100,428,4.6
B00NOKWZLK,https://www.amazon.com/dp/B00NOKWZLK,7896.00,False,False,False,True,On Call Express Blood Glucose Test Strips (50 Count),https://m.media-amazon.com/images/I/61PiP7cEYBL._AC_UL320_.jpg,1,43,43,False,0,USD,0.0,0.0,0,1680,4.7
B06XRKP8JW,https://www.amazon.com/dp/B06XRKP8JW,6821.80,False,False,False,True,"iHealth Blood Glucose Test Strips (50 Count), No Coding Blood Sugar Test, Eligible for FSA Reimbursement, Precision Sugar ...",https://m.media-amazon.com/images/I/71t0Yd6NXoL._AC_UL320_.jpg,1,44,44,False,0,USD,0.0,0.0,0,1483,4.6
B07S2T64BL,https://www.amazon.com/dp/B07S2T64BL,18754.20,False,False,False,True,"Prodigy Glucose Monitor Kit - Includes Prodigy Meter, 100ct test strips, 10ct Lancets, Lancing device, Carrying Case, Log ...",https://m.media-amazon.com/images/I/81pIy+MJ1nL._AC_UL320_.jpg,1,45,45,True,0,USD,22.95,22.95,100,4077,4.6
B00NG0MSPQ,https://www.amazon.com/dp/B00NG0MSPQ,12811.00,False,False,False,True,"Contour Next EZ Diabetes Testing Kit | Contour Next EZ Blood Glucose Meter, 100 Contour Next Blood Glucose Test Strips, 10...",https://m.media-amazon.com/images/I/71VxBax5LyL._AC_UL320_.jpg,1,46,46,False,0,USD,0.0,0.0,0,2785,4.6
B01LW1A51V,https://www.amazon.com/dp/B01LW1A51V,15393.60,False,False,False,True,6 x 50 ct TRUE METRIX® NFRS Test Strips (300 Test Strips),https://m.media-amazon.com/images/I/71ehsIk4x2L._AC_UL320_.jpg,1,47,47,False,0,USD,0.0,0.0,0,3207,4.8
B08G5CW8RF,https://www.amazon.com/dp/B08G5CW8RF,16548.70,False,False,False,True,KETO-MOJO Test Strip Combo Pack for Use ONLY with The New GK+ Meter | 60 Blood Glucose + 60 Blood Ketone (120ct),https://m.media-amazon.com/images/I/81YAcc5V76L._AC_UL320_.jpg,1,48,48,False,0,USD,0.0,0.0,0,3521,4.7
B07199BSMC,https://www.amazon.com/dp/B07199BSMC,25867.20,False,False,False,True,Sponsored Ad - Care Touch Multi Colored Diabetic Lancets 30 Gauge - Lancets for Diabetes Testing and Blood Testing (300 Co...,https://m.media-amazon.com/images/I/61b2V-QwJ+L._AC_UL320_.jpg,1,1,1,False,0,USD,0.0,0.0,0,5389,4.8
B0794DFH6F,https://www.amazon.com/dp/B0794DFH6F,45470.40,False,False,False,True,Sponsored Ad - Care Touch Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of ...,https://m.media-amazon.com/images/I/71xi00Rr7WS._AC_UL320_.jpg,1,2,2,False,0,USD,0.0,0.0,0,9473,4.8
